ProbeID	SYMBOL	cluster
GI_37059785-S	LRRN3	3
GI_19923110-S	IGFBP3	13
GI_4505674-S	PDE9A	3
GI_41281388-S	NRCAM	11
GI_31377588-S	SYT11	13
GI_4503680-S	FCGBP	3
GI_5032234-S	RCAN2	13
GI_31542869-S	GZMH	19
GI_31560867-S	ITM2C	10
GI_38564321-S	ZNF154	11
GI_4503746-S	FLNB	3
GI_30795213-S	CCR7	3
GI_21389504-S	JAKMIP1	13
GI_4507398-S	TCF4	1
GI_14249149-S	SSBP4	15
GI_34147050-S	GDPD5	18
GI_10835170-S	IFNG	17
GI_42544152-S	LTK	6
GI_5360215-I	IDS	13
GI_4507544-S	GPR137B	16
Hs.355618-S	MIAT	13
GI_5803202-S	TNNT3	6
GI_23308576-S	PHGDH	11
GI_4507052-S	SLC7A6	3
GI_37548529-S	OBSCN	6
GI_13929470-S	B4GALT5	14
GI_41149833-S	LINC00944	13
GI_24475968-S	MZB1	1
GI_21687176-S	RASGEF1A	19
GI_4505036-S	LTBP4	18
GI_4503664-S	FBLN2	11
GI_4758865-S	NREP	7
GI_4755145-S	AEBP1	6
GI_31982900-S	SCD	10
GI_38348363-S	MXRA7	13
GI_4885496-S	MYB	5
GI_13186319-A	METTL1	9
GI_22547194-S	SREBF1	10
GI_15718681-S	LAG3	13
GI_29729547-S	---	19
GI_31542834-S	GAL3ST4	3
GI_40255313-S	OBSCN	6
GI_31543092-S	GLB1L2	13
GI_22749458-S	GPC2	3
GI_21361616-S	FAM134B	3
GI_6996017-S	MSC	13
GI_34147607-S	NOSIP	3
Hs.146543-S	---	3
GI_19923451-S	LEF1	3
GI_22538469-S	EOMES	19
GI_42661554-S	ZNF667-AS1	3
GI_6857817-S	NPM3	9
GI_38569483-S	KIF21A	13
GI_40354211-S	IPCEF1	3
GI_18375661-A	PTPN7	18
GI_18375502-A	APEX1	2
GI_40788019-S	C1orf21	19
GI_33356156-S	APOBEC3H	13
GI_31542536-S	CDCA7L	1
GI_14589910-A	MMP28	11
GI_38569429-S	ATF7IP2	6
Hs.233167-S	---	8
GI_23510435-S	CD27	3
GI_34147604-S	OPTN	13
GI_22749032-S	MANEAL	13
GI_37552665-S	SGK223	3
GI_4885266-S	GFI1	13
GI_21450644-S	TTC16	13
GI_29747011-S	PLEKHG4	11
GI_29336036-S	PDZD4	19
GI_37059752-S	SUSD3	3
GI_33356175-S	SATB1	3
GI_31341850-S	LINC00282	3
GI_30149753-S	LGR6	19
GI_41327713-S	APMAP	19
GI_4826869-S	NUCB2	5
GI_34147626-S	ZSCAN18	3
GI_21361852-S	PLXDC1	3
GI_7662169-S	NUAK1	13
GI_19923906-S	OXNAD1	3
GI_4505668-S	PDE6B	3
GI_41584199-S	GPR56	19
GI_42518079-S	TCF7	6
GI_39725694-S	CRIP1	12
GI_13375806-S	BEND5	1
GI_21284386-A	ABLIM1	3
GI_42660348-S	---	3
GI_22749362-S	FBXO15	11
hmm2656-S	LINC00944	13
GI_4758679-S	LLGL2	19
GI_4504374-S	CFH	12
GI_31377551-S	RAP2A	14
GI_31543930-S	VAMP5	16
GI_15011978-A	ARHGEF4	11
GI_5453765-S	NELL2	3
GI_14670372-A	PCBP4	13
GI_22748704-S	BTBD11	3
GI_16905508-A	B3GAT1	13
GI_37537721-S	AGMAT	6
GI_33946290-S	LPCAT1	19
GI_34147563-S	SLC1A7	19
GI_32454742-S	SESN2	15
Hs.11594-S	---	13
Hs.150495-S	---	6
GI_5453735-S	MAF	13
GI_33354248-S	DNAJA4	3
GI_27552763-S	TMEM8B	10
hmm30181-S	TNIP3	13
GI_24308074-S	RAB11FIP5	13
GI_7661743-S	BZW2	5
GI_32189367-S	IGJ	1
GI_21389428-S	TMIGD2	11
GI_37549771-S	TTC24	11
Hs.449609-S	---	1
GI_37552337-S	ARRDC5	6
GI_20127439-S	MFSD10	6
GI_41352701-S	DPH2	5
GI_23238191-S	TNFRSF17	1
GI_8923627-S	TTC38	19
GI_27484243-S	PATL2	13
GI_14165275-S	C2orf40	11
GI_5174556-S	MFGE8	6
GI_27597087-S	CYB561	13
GI_4826845-S	MYO6	13
GI_37546957-S	TRABD2A	3
GI_7705752-S	C1QA	16
GI_30150520-S	C1orf228	6
GI_10863910-S	SPINK2	11
GI_38045911-A	NME1	9
GI_28144896-A	AK5	11
GI_20127481-S	NKG7	19
GI_34335231-S	CKB	16
GI_22748804-S	C1orf216	9
GI_5174402-S	CACNA2D2	13
GI_34222243-S	RHOC	16
GI_6031164-S	F2R	20
GI_27735072-S	CYP4F22	16
GI_4502010-S	AK1	6
hmm525-S	SFXN3	18
GI_7108345-I	GNLY	19
GI_38348195-S	DERL3	1
GI_32171195-S	CENPV	9
GI_4502848-S	TBCB	15
GI_24475870-S	GPR114	19
GI_25777719-A	ALDH5A1	2
GI_42558263-S	FAM102A	3
GI_38788121-S	PRSS23	19
GI_9910391-S	AGPAT4	15
GI_24497439-I	IL12RB1	18
GI_20302138-S	CST7	19
GI_27436944-I	LMNA	17
GI_38788425-S	NOG	11
GI_37550187-S	C5orf56	13
GI_18497287-S	LTBP3	6
GI_42716282-S	USB1	16
GI_42544137-S	EXOSC5	10
GI_4557268-S	ADSL	4
GI_23238206-S	TNFRSF21	10
Hs.500643-S	RNF157-AS1	11
GI_7662347-S	MLXIP	15
GI_31377628-S	CPA5	11
GI_18375640-S	BATF	12
GI_31543180-S	PCYOX1L	4
hmm3032-S	---	11
GI_42476209-S	TMCO4	9
GI_13899218-S	GABARAPL1	17
GI_34147590-S	PUS1	9
GI_7110714-S	SEC14L2	11
Hs.449584-S	---	1
GI_45446739-S	ABCA2	19
GI_5360207-A	IDS	17
GI_19743835-S	TARBP1	11
GI_34304373-S	CDK5R1	11
GI_27484425-S	SYTL3	19
GI_19923900-S	PCED1B	3
GI_15451788-S	PDGFRB	19
GI_4507610-S	TNK1	3
GI_38016201-S	SATB2	12
GI_42658866-S	MTUS1	11
GI_31543022-S	FGFBP2	19
GI_4503744-S	FLNA	15
GI_37550554-S	ZBTB38	13
GI_4557252-S	ADAM8	15
GI_22538813-S	CCL5	13
GI_14249535-S	CIRH1A	6
GI_4505466-S	NT5E	3
GI_42659320-S	---	13
GI_12545379-S	SCT	10
GI_20336304-I	BCL11A	1
GI_16418432-S	ALPK2	12
GI_5453909-S	PLCD1	6
GI_4758173-S	DMPK	18
GI_33356127-I	NAA16	5
GI_13376239-S	ZNF671	4
GI_15718673-S	ADRB2	19
GI_5453602-S	CCT2	2
GI_41199582-S	LRRC26	10
Hs.408284-S	ZBTB20-AS1	12
GI_4557440-S	CDKN1C	16
GI_16507966-S	ENO2	6
GI_22748948-S	IGF1R	3
Hs.293917-S	---	13
GI_37546867-S	WDR43	4
GI_8923076-S	ZNF586	9
GI_34222270-S	SFXN2	9
GI_24308228-S	PACSIN1	10
GI_18079322-S	GAB3	19
GI_30154358-S	AGPAT4	8
GI_39930402-S	LGR6	19
GI_21070979-A	PAM	13
GI_24308397-S	TMEM116	13
